EFF_DATE,FACILITY_ID,FACILITY_TYPE,STATE_CODE,COUNTRY_CODE,RADAR_TYPE,RADAR_NO,RADAR_HRS,REMARK
2025/02/20,MYR,AIRPORT,SC,US,ASR,1,0600-2300.,
2025/02/20,N90,TRACON,NY,US,ASR,1,24,
2025/02/20,N90,TRACON,NY,US,ASR,2,24,
2025/02/20,N90,TRACON,NY,US,ASR,3,24,
2025/02/20,N90,TRACON,NY,US,ASR,4,24,
2025/02/20,N90,TRACON,NY,US,ASR,5,24,
2025/02/20,NBC,AIRPORT,SC,US,PAR,2,0700-2300 LCL,
2025/02/20,NBC,AIRPORT,SC,US,ASR,3,0700-2300 LCL,
2025/02/20,NBG,AIRPORT,LA,US,ASR,1,MON-FRI 0700-2300.  SAT-SUN 0900-1700.,
2025/02/20,NBG,AIRPORT,LA,US,PAR,2,MON-FRI 0700-2300.  SAT-SUN 0900-1700.,
2025/02/20,NCA,AIRPORT,NC,US,ASR,3,24,
2025/02/20,NCA,AIRPORT,NC,US,PAR,4,24,
2025/02/20,NCT,TRACON,CA,US,ARSR,1,24,
2025/02/20,NCT,TRACON,CA,US,ARSR,2,24,
2025/02/20,NCT,TRACON,CA,US,ARSR,3,24,
2025/02/20,NCT,TRACON,CA,US,ASR,4,24,
2025/02/20,NDZ,AIRPORT,FL,US,ASR,1,SAME AS ARPT OPS HRS.,
2025/02/20,NDZ,AIRPORT,FL,US,PAR,2,SAME AS ARPT OPS HRS.,
2025/02/20,NFG,AIRPORT,CA,US,ASR,1,"1600-0800Z MON-THU, 1600-0100Z++ FRI; CLSD SAT, SUN AND HOL.",(RADAR_TYPE) ILS/RADAR - RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.
2025/02/20,NFG,AIRPORT,CA,US,PAR,2,"1600-2000Z++ AND 0000-0100Z++ MON, 1600-0100Z++  FRI,  1600-0800Z++ TUE-THU; CLSD SAT, SUN AND HOL.",
2025/02/20,NFL,AIRPORT,NV,US,ASR,2,SAME AS ARPT HRS.,
2025/02/20,NFL,AIRPORT,NV,US,PAR,3,SAME AS ARPT HRS.  RADAR - SEE TRML FLIP FOR RADAR MINIMA.,
2025/02/20,NFW,AIRPORT,TX,US,ASR,1,"1300-0500Z++ MON-FRI, EXC HOL.",
2025/02/20,NFW,AIRPORT,TX,US,PAR,2,"1300-0500Z++ MON-FRI, EXC HOL.",
2025/02/20,NGF,AIRPORT,HI,US,ASR,1,"1800-0800Z MON-FRI; CLSD SAT, SUN AND HOL. MP 1630-2300Z WED.",
2025/02/20,NGP,AIRPORT,TX,US,PAR,1,24,
2025/02/20,NGU,AIRPORT,VA,US,ASR,1,RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.,
2025/02/20,NGU,AIRPORT,VA,US,PAR,2,RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.,
2025/02/20,NHK,AIRPORT,MD,US,ASR,1,"1200-0400Z++ MON-FRI, 1300-2300Z++SAT-SUN.","(RADAR_HRS) SEE TERMINAL FLIP FOR RADAR MINIMA. ASR-11, PAR."
2025/02/20,NHK,AIRPORT,MD,US,PAR,2,"1200-0400Z++ MON-FRI, 1300-2300Z++ SAT-SUN.",
2025/02/20,NIP,AIRPORT,FL,US,PAR,2,NO-NOTAM MAINTENANCE SCHEDULE: PAR 1200-1600Z++ TUES. SEE FLIP AP/1 FOR ADDITIONAL SUPPLEMENTARY ARPT INFO.  SEE TERMINAL FLIP FOR RADAR MINIMA.,
2025/02/20,NIP,AIRPORT,FL,US,ASR,3,24,
2025/02/20,NJK,AIRPORT,CA,US,ASR,1,24 HRS,
2025/02/20,NKT,AIRPORT,NC,US,ASR,3,24,
2025/02/20,NKT,AIRPORT,NC,US,PAR,4,24,
2025/02/20,NKX,AIRPORT,CA,US,ASR,1,24 HRS,
2025/02/20,NKX,AIRPORT,CA,US,PAR,2,1530-0800Z MON-THU; 1630-0200Z++ FRI; CLSD SAT; 2200-0200Z++SUN.  FLD CLSD NATL HOLS.,
2025/02/20,NLC,AIRPORT,CA,US,ASR,2,24,
2025/02/20,NLC,AIRPORT,CA,US,PAR,3,0700-2400 MON-FRI; 0800-2400 SAT-SUN-HOL.,
2025/02/20,NMM,AIRPORT,MS,US,PAR,2,0700-2300,
2025/02/20,NMM,AIRPORT,MS,US,ASR,4,24,
2025/02/20,NPA,AIRPORT,FL,US,PAR,2,HRS SAME AS ATCT.,
2025/02/20,NQI,AIRPORT,TX,US,ASR,1,SEE ATCT HRS.,
2025/02/20,NQX,AIRPORT,FL,US,PAR,2,"1200-0300Z++, OT CTC MIA ARTCC.  SEE TERMINAL FLIP FOR RADAR MINIMA.",
2025/02/20,NQX,AIRPORT,FL,US,ASR,3,1200-0300Z++,
2025/02/20,NRB,AIRPORT,FL,US,PAR,3,24,
2025/02/20,NRB,AIRPORT,FL,US,ASR,4,24,
2025/02/20,NRS,AIRPORT,CA,US,PAR,1,1600-0630Z MON-THU (1500-0600Z DT) AND 1600-0200Z++ FRI. CLSD FR 0200Z++ DAY PRIOR TIL 1600Z++ DAY FLW GOVT HOL.  ILS/RADAR - RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.,
2025/02/20,NSI,AIRPORT,CA,US,ASR,1,24,
2025/02/20,NSI,AIRPORT,CA,US,PAR,2,24,
2025/02/20,NTD,AIRPORT,CA,US,ASR,2,1500-0700Z++,
2025/02/20,NTU,AIRPORT,VA,US,ASR,1,24,
2025/02/20,NTU,AIRPORT,VA,US,PAR,2,24,
2025/02/20,NUC,AIRPORT,CA,US,ASR,1,0800-1800 MON-FRI,(RADAR_TYPE) ASR NO-NOTAM MP 1800-2200Z++ TUE.
2025/02/20,NUC,AIRPORT,CA,US,PAR,2,0800-1800 MON-FRI,(RADAR_TYPE) PAR NO-NOTAM MP 1800-2200Z++ TUE
2025/02/20,NUQ,AIRPORT,CA,US,ASR,1,24,
2025/02/20,NUW,AIRPORT,WA,US,ASR,1,24,
2025/02/20,NUW,AIRPORT,WA,US,PAR,2,24,
2025/02/20,NYG,AIRPORT,VA,US,ASR,1,"1300-0200Z++ MON-THU; 1300-2200Z++ FRI; OPR SAT, SUN,AND HOL BY NOTAM ONLY.",
2025/02/20,NYG,AIRPORT,VA,US,PAR,2,"1600-2200Z++ MON; 1300-0200Z++ TUE-THU; 1300-2200Z++ FRI; OPEN SAT, SUN AND HOL BY NOTAM ONLY.",
2025/02/20,NYL,AIRPORT,AZ,US,ASR,2,24,
2025/02/20,NYL,AIRPORT,AZ,US,PAR,3,24,
2025/02/20,NZY,AIRPORT,CA,US,PAR,1,1430Z++ MON- 0600Z++ SAT; 1600Z++ SAT- 0600Z++ SUN; 1600Z++ SUN- 0600Z++ MON. CLSD 0200Z++ DAY PRIOR TO 1430Z++ DAY FOLLOWING ALL FEDERAL HOLIDAYS. SEE FLIP AP/1 SUPPLEMENTARY ARPT INFO.,
2025/02/20,NZY,AIRPORT,CA,US,ASR,2,1430Z++ MON- 0600Z++ SAT; 1600Z++ SAT- 0600Z++ SUN; 1600Z++ SUN- 0600Z++ MON. CLSD 0200Z++ DAY PRIOR TO 1430Z++ DAY FOLLOWING ALL FEDERAL HOLIDAYS. SEE FLIP AP/1 SUPPLEMENTARY ARPT INFO.,
2025/02/20,OAK,AIRPORT,CA,US,ASR,1,24,
2025/02/20,OAR,AIRPORT,CA,US,ASR,1,24,"(RADAR_TYPE) ASR-8 ANTENNA LOCATED MARINA MUNI (OAR), REMOTED TO MONTEREY PENINSULA (MRY).  ASR-8 SERVES MRY AND OAR."
2025/02/20,OGG,AIRPORT,HI,US,ASR,1,24,
2025/02/20,OKC,AIRPORT,OK,US,ASR,1,24,
2025/02/20,OMA,AIRPORT,NE,US,ASR,1,24,
2025/02/20,ONT,AIRPORT,CA,US,ASR,1,24,
2025/02/20,ORD,AIRPORT,IL,US,ASR,2,24,
2025/02/20,ORF,AIRPORT,VA,US,ASR,1,24,
2025/02/20,OZR,AIRPORT,AL,US,ASR,1,24,
2025/02/20,OZR,AIRPORT,AL,US,PAR,2,24,
2025/02/20,P50,TRACON,AZ,US,ASR,1,24,
2025/02/20,PAM,AIRPORT,FL,US,ASR,1,24,
2025/02/20,PAM,AIRPORT,FL,US,PAR,2,24,
2025/02/20,PBI,AIRPORT,FL,US,ASR,2,24,
2025/02/20,PDX,AIRPORT,OR,US,ASR,2,24,
2025/02/20,PHL,AIRPORT,PA,US,ASR,1,24,
2025/02/20,PIA,AIRPORT,IL,US,ASR,2,24,
2025/02/20,PIT,AIRPORT,PA,US,ASR,1,24,
2025/02/20,PNS,AIRPORT,FL,US,ASR,1,24,
2025/02/20,POB,AIRPORT,NC,US,PAR,1,0600-0000,
2025/02/20,POE,AIRPORT,LA,US,ASR,1,0800-0000 EXCEPT HOLS.,
2025/02/20,POE,AIRPORT,LA,US,PAR,2,0800-0000 EXCEPT HOLS.,
2025/02/20,PSC,AIRPORT,WA,US,ASR,1,0600-2200,
2025/02/20,PSM,AIRPORT,NH,US,PAR,1,24,
2025/02/20,PSP,AIRPORT,CA,US,ASR,1,0600-2300,
2025/02/20,PTK,AIRPORT,MI,US,ASR,1,24,
2025/02/20,PUB,AIRPORT,CO,US,ASR,1,0600-2200,
2025/02/20,PVD,AIRPORT,RI,US,ASR,1,0600-0000,
2025/02/20,PWM,AIRPORT,ME,US,ASR,1,16,
2025/02/20,RCA,AIRPORT,SD,US,ASR,2,DIGITAL ASR NO-NOTAM MP: 0500-1100Z++ MON-FRI.,(RADAR_TYPE) DIGITAL ASR NO-NOTAM MP: 0500-1100Z++ MON-FRI.
2025/02/20,RDG,AIRPORT,PA,US,ASR,2,0600-0000,
